GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size)
-820989376,Azul,0,ABOUT_TO_START,0,0,2,2,8
855005387,Azul,0,ABOUT_TO_START,0,0,2,3,8
-260765991,Azul,0,ABOUT_TO_START,0,0,2,4,8
506942768,Azul,0,ABOUT_TO_START,0,0,2,5,8
466190749,Azul,0,ABOUT_TO_START,0,0,2,6,8
-2122736188,Azul,0,ABOUT_TO_START,0,0,2,7,8
-986050787,Azul,0,ABOUT_TO_START,0,0,2,8,8
1809151617,Azul,0,ABOUT_TO_START,0,0,2,9,8
1906199564,Azul,0,ABOUT_TO_START,0,0,2,10,8
-782388062,Azul,0,ABOUT_TO_START,0,0,2,11,8
560193383,Azul,0,ABOUT_TO_START,0,0,2,12,8
-1293757191,Azul,0,ABOUT_TO_START,0,0,2,13,8
-821089632,Azul,0,ABOUT_TO_START,0,0,2,14,8
-578657468,Azul,0,ABOUT_TO_START,0,0,2,15,8
656471772,Azul,0,ABOUT_TO_START,0,0,2,16,8
-837955950,Azul,0,ABOUT_TO_START,0,0,2,17,8
-592757046,Azul,0,ABOUT_TO_START,0,0,2,18,8
-1158710781,Azul,0,ABOUT_TO_START,0,0,2,19,8
540411548,Azul,0,ABOUT_TO_START,0,0,2,20,8
-1173234091,Azul,0,ABOUT_TO_START,0,0,2,21,8
275247138,Azul,0,ABOUT_TO_START,0,0,2,22,8
791164969,Azul,0,ABOUT_TO_START,0,0,2,23,8
1588588325,Azul,0,ABOUT_TO_START,0,0,2,24,8
2069387241,Azul,0,ABOUT_TO_START,0,0,2,25,8
537379431,Azul,0,ABOUT_TO_START,0,0,2,26,8
-1913912412,Azul,0,ABOUT_TO_START,0,0,2,27,8
1055764472,Azul,0,ABOUT_TO_START,0,0,2,28,8
212912236,Azul,0,ABOUT_TO_START,0,0,2,29,8
1745487812,Azul,0,ABOUT_TO_START,0,0,2,30,8
907962358,Azul,0,ABOUT_TO_START,0,0,2,31,8
1718037885,Azul,0,ABOUT_TO_START,0,0,2,32,8
-705818491,Azul,0,ABOUT_TO_START,0,0,2,33,8
-194186412,Azul,0,ABOUT_TO_START,0,0,2,34,8
851153007,Azul,0,ABOUT_TO_START,0,0,2,35,8
-1317015261,Azul,0,ABOUT_TO_START,0,0,2,36,8
-1603105863,Azul,0,ABOUT_TO_START,0,0,2,37,8
-1524641816,Azul,0,ABOUT_TO_START,0,0,2,38,8
-782388834,Azul,0,ABOUT_TO_START,0,0,2,39,8
-167557173,Azul,0,ABOUT_TO_START,0,0,2,40,8
-1517889282,Azul,0,ABOUT_TO_START,0,0,2,41,8
-2120524025,Azul,0,ABOUT_TO_START,0,0,2,42,8
791352836,Azul,0,ABOUT_TO_START,0,0,2,43,8
-1311153562,Azul,0,ABOUT_TO_START,0,0,2,44,8
-67364723,Azul,0,ABOUT_TO_START,0,0,2,45,8
32678965,Azul,0,ABOUT_TO_START,0,0,2,46,8
-968113653,Azul,0,ABOUT_TO_START,0,0,2,47,8
-1269080868,Azul,0,ABOUT_TO_START,0,0,2,48,8
1096004348,Azul,0,ABOUT_TO_START,0,0,2,49,8
-1341218696,Azul,0,ABOUT_TO_START,0,0,2,50,8
343991094,Azul,0,ABOUT_TO_START,0,0,2,51,8
-1230614737,Azul,0,ABOUT_TO_START,0,0,2,52,8
464780683,Azul,0,ABOUT_TO_START,0,0,2,53,8
-1645493737,Azul,0,ABOUT_TO_START,0,0,2,54,8
644316824,Azul,0,ABOUT_TO_START,0,0,2,55,8
-89404192,Azul,0,ABOUT_TO_START,0,0,2,56,8
-292401219,Azul,0,ABOUT_TO_START,0,0,2,57,8
1574440101,Azul,0,ABOUT_TO_START,0,0,2,58,8
2106790538,Azul,0,ABOUT_TO_START,0,0,2,59,8
1539339921,Azul,0,ABOUT_TO_START,0,0,2,60,8
2037407274,Azul,0,ABOUT_TO_START,0,0,2,61,8
1276984637,Azul,0,ABOUT_TO_START,0,0,2,62,8
-1320935529,Azul,0,ABOUT_TO_START,0,0,2,63,8
-1806728725,Azul,0,ABOUT_TO_START,0,0,2,64,8
-812388717,Azul,0,ABOUT_TO_START,0,0,2,65,8
1852993294,Azul,0,ABOUT_TO_START,0,0,2,66,8
-850801477,Azul,0,ABOUT_TO_START,0,0,2,67,8
-714843199,Azul,0,ABOUT_TO_START,0,0,2,68,8
914176311,Azul,0,ABOUT_TO_START,0,0,2,69,8
423953433,Azul,0,ABOUT_TO_START,0,0,2,70,8
-1076028723,Azul,0,ABOUT_TO_START,0,0,2,71,8
-2077636491,Azul,0,ABOUT_TO_START,0,0,2,72,8
-1605268636,Azul,0,ABOUT_TO_START,0,0,2,73,8
362862137,Azul,0,ABOUT_TO_START,0,0,2,74,8
-1053336776,Azul,0,ABOUT_TO_START,0,0,2,75,8
160442010,Azul,0,ABOUT_TO_START,0,0,2,76,8
481623888,Azul,0,ABOUT_TO_START,0,0,2,77,8
-1736706973,Azul,0,ABOUT_TO_START,0,0,2,78,8
495771121,Azul,0,ABOUT_TO_START,0,0,2,79,8
-12404773,Azul,0,ABOUT_TO_START,0,0,2,80,8
1189567785,Azul,0,ABOUT_TO_START,0,0,2,81,8
-307597265,Azul,0,ABOUT_TO_START,0,0,2,82,8
-147846492,Azul,0,ABOUT_TO_START,0,0,2,83,8
-1255271398,Azul,0,ABOUT_TO_START,0,0,2,84,8
1218804073,Azul,0,ABOUT_TO_START,0,0,2,85,8
-100466793,Azul,0,ABOUT_TO_START,0,0,2,86,8
-1305454288,Azul,0,ABOUT_TO_START,0,0,2,87,8
2052598491,Azul,0,ABOUT_TO_START,0,0,2,88,8
-275667857,Azul,0,ABOUT_TO_START,0,0,2,89,8
1636136701,Azul,0,ABOUT_TO_START,0,0,2,90,8
-1207181994,Azul,0,ABOUT_TO_START,0,0,2,91,8
1424783075,Azul,0,ABOUT_TO_START,0,0,2,92,8
-738525365,Azul,0,ABOUT_TO_START,0,0,2,93,8
736124786,Azul,0,ABOUT_TO_START,0,0,2,94,8
138500524,Azul,0,ABOUT_TO_START,0,0,2,95,8
-563787748,Azul,0,ABOUT_TO_START,0,0,2,96,8
84199897,Azul,0,ABOUT_TO_START,0,0,2,97,8
-1279054539,Azul,0,ABOUT_TO_START,0,0,2,98,8
-1258549801,Azul,0,ABOUT_TO_START,0,0,2,99,8
-471513157,Azul,0,ABOUT_TO_START,0,0,2,100,8
-995361264,Azul,0,ABOUT_TO_START,0,0,2,101,8
